trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
64,False,"{'a': 0.5, 'e': 0.48799999999999955}",20,0,-10.671570693571129,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
65,False,"{'a': 0.5, 'e': 0.47999999999999954}",25,9,-32.64786692107051,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 1}",1
66,False,"{'a': 0.5, 'e': 0.47199999999999953}",30,14,10.678148679685297,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.4639999999999995}",30,20,-36.19209048554319,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
68,False,"{'a': 0.5, 'e': 0.4559999999999995}",25,5,-62.78964366891154,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",1
69,False,"{'a': 0.5, 'e': 0.4479999999999995}",20,6,-10.38397356238806,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.4399999999999995}",25,20,9.142973788736995,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.4319999999999995}",20,0,-72.2140292237393,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
72,False,"{'a': 0.5, 'e': 0.4239999999999995}",20,6,-81.4597061902583,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 2}",1
73,False,"{'a': 0.5, 'e': 0.4159999999999995}",20,10,15.478297436360226,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.4079999999999995}",20,10,13.022942071556916,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.39999999999999947}",20,8,20.856396677142897,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.39199999999999946}",25,17,-27.244388384440448,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
77,False,"{'a': 0.5, 'e': 0.38399999999999945}",25,11,-5.987162606619762,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.37599999999999945}",25,8,-38.952079619364845,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
79,False,"{'a': 0.5, 'e': 0.36799999999999944}",25,18,-1.2557411416600046,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.35999999999999943}",20,14,8.183796671727615,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.3519999999999994}",25,16,-1.3833714629784932,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.3439999999999994}",25,1,-39.646476126338044,"{0: 19, 1: 3, 2: 1, 3: 0, 4: 1}",1
83,False,"{'a': 0.5, 'e': 0.3359999999999994}",25,0,-47.88111530324182,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 1}",0
84,False,"{'a': 0.5, 'e': 0.3279999999999994}",20,6,8.977923666880077,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.3199999999999994}",20,3,3.767183279339083,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.3119999999999994}",25,13,5.67423647982782,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.3039999999999994}",20,6,-5.710168731616553,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 0}",1
